gvkey,datadate,fyearq,fqtr,indfmt,consol,atq,ltq,ceqq,cheq,dlttq,dlcq,rectq,invtq,saleq,revtq,cogsq,xsgaq,oibdpq,niq,ibq,xrdq,capxy,ticker,conm
012540,2025-02-28,2025,1,INDL,C,29955.0,16860.0,13095.0,7435.0,6489.0,74.0,1973.0,0.0,5714.0,5714.0,446.0,2888.0,2380.0,1811.0,1811.0,1026.0,26.0,ADBE,ADOBE INC
339965,2025-01-31,2024,4,INDL,C,9033.938,6027.295,2999.929,4637.671,2649.347,35.923,922.805,0.0,986.77,986.77,295.205,1026.201,-334.636,-327.474,-327.474,492.49,75.712,SNOW,SNOWFLAKE INC
157855,2025-01-31,2024,4,INDL,C,102928.0,41755.0,61173.0,14032.0,11154.0,916.0,11945.0,0.0,9993.0,9993.0,1572.0,5426.0,2995.0,1708.0,1708.0,1420.0,658.0,CRM,SALESFORCE INC
117768,2025-01-31,2024,4,INDL,C,111601.0,32274.0,79327.0,43210.0,9982.0,288.0,23065.0,10080.0,39331.0,39331.0,10065.0,4689.0,24577.0,22091.0,22091.0,3714.0,3236.0,NVDA,NVIDIA CORP
180711,2025-01-31,2025,1,INDL,C,165358.0,95569.0,69789.0,9307.0,60926.0,5653.0,7677.0,1908.0,14916.0,14916.0,3131.0,3095.0,8690.0,5503.0,5503.0,2253.0,100.0,AVGO,BROADCOM INC
035005,2025-01-31,2024,4,INDL,C,10988.421,2053.337,8935.084,7791.709,37.406,,495.228,0.0,1184.138,1184.138,250.932,663.636,269.57,367.865,367.865,217.121,136.56,ZM,ZOOM COMMUNICATIONS INC
023650,2024-12-31,2024,4,INDL,C,13924.0,2366.0,11558.0,5479.0,190.0,936.0,1598.0,26.0,2812.0,2812.0,1452.0,887.0,473.0,1293.0,1293.0,351.0,19.0,SHOP,SHOPIFY INC
184996,2024-12-31,2024,4,INDL,C,122070.0,48390.0,72913.0,37057.0,10360.0,3263.0,4574.0,12017.0,25707.0,25707.0,20032.0,2589.0,3086.0,2317.0,2317.0,1276.0,11342.0,TSLA,TESLA INC
160329,2024-12-31,2024,4,INDL,C,450256.0,125172.0,321984.0,95657.0,24016.0,4121.0,52340.0,,96469.0,96469.0,36408.0,24884.0,35177.0,26536.0,26536.0,13116.0,52535.0,GOOGL,ALPHABET INC
036910,2024-12-31,2024,4,INDL,C,6340.884,1246.477,5003.275,5237.691,195.226,43.993,575.048,0.0,827.519,827.519,167.527,641.943,18.049,79.009,79.009,171.502,12.634,PLTR,PALANTIR TECHNOLOG INC
001690,2024-12-31,2025,1,INDL,C,344085.0,277327.0,66758.0,53775.0,83956.0,12843.0,59306.0,6911.0,124300.0,124300.0,62945.0,15443.0,45912.0,36330.0,36330.0,8268.0,2940.0,AAPL,APPLE INC
001161,2024-12-31,2024,4,INDL,C,69226.0,11658.0,57568.0,5156.0,2212.0,109.0,6933.0,5734.0,7658.0,7658.0,3338.0,2458.0,1862.0,482.0,482.0,1712.0,636.0,AMD,ADVANCED MICRO DEVICES
012141,2024-12-31,2025,2,INDL,C,533898.0,231203.0,302695.0,71555.0,90380.0,12529.0,59588.0,909.0,69632.0,69632.0,14972.0,16180.0,38480.0,24108.0,24108.0,7917.0,30727.0,MSFT,MICROSOFT CORP
147579,2024-12-31,2024,4,INDL,C,53630.374,28886.807,24743.567,9586.211,15782.039,2212.935,1335.304,0.0,10246.513,10246.513,5687.825,2206.383,2352.305,1868.607,1868.607,776.505,439.538,NFLX,NETFLIX INC
170617,2024-12-31,2024,4,INDL,C,276054.0,93417.0,182637.0,78168.0,47751.0,2018.0,16994.0,0.0,48385.0,48385.0,4372.0,17645.0,26368.0,20838.0,20838.0,12180.0,37256.0,META,META PLATFORMS INC
006008,2024-12-31,2024,4,INDL,C,196485.0,91453.0,99270.0,22062.0,46561.0,3910.0,8176.0,12198.0,14260.0,14260.0,6094.0,5050.0,3116.0,-126.0,-126.0,3876.0,23944.0,INTC,INTEL CORP
064768,2024-12-31,2024,4,INDL,C,624894.0,338924.0,285970.0,101449.0,138000.0,17401.0,49300.0,33216.0,187792.0,187792.0,83262.0,67520.0,37010.0,20004.0,20004.0,23571.0,82999.0,AMZN,AMAZON.COM INC
024616,2024-12-31,2024,4,INDL,C,81611.0,61194.0,20417.0,10917.0,10526.0,1331.0,7546.0,541.0,8366.0,8366.0,4199.0,2427.0,1740.0,1121.0,1121.0,1500.0,683.0,PYPL,PAYPAL HOLDINGS INC
024800,2024-12-31,2025,1,INDL,C,55575.0,28695.0,26880.0,14305.0,13212.0,1365.0,3550.0,6303.0,11669.0,11669.0,4725.0,2953.0,3991.0,3180.0,3180.0,2230.0,277.0,QCOM,QUALCOMM INC
012540,2024-11-30,2024,4,INDL,C,30230.0,16125.0,14105.0,7886.0,4482.0,1574.0,2072.0,0.0,5606.0,5606.0,440.0,2913.0,2253.0,1683.0,1683.0,999.0,183.0,ADBE,ADOBE INC
035005,2024-10-31,2024,3,INDL,C,10679.869,2000.035,8679.834,7711.324,37.59,28.984,458.007,0.0,1177.541,1177.541,249.757,684.464,243.32,207.05,207.05,222.98,128.226,ZM,ZOOM COMMUNICATIONS INC
339965,2024-10-31,2024,3,INDL,C,8202.258,5267.849,2929.445,4156.99,2557.34,38.288,618.852,0.0,942.094,942.094,278.207,964.757,-300.87,-324.279,-324.279,442.435,58.43,SNOW,SNOWFLAKE INC
180711,2024-10-31,2024,4,INDL,C,165645.0,97967.0,67678.0,9348.0,67438.0,1478.0,6332.0,1760.0,14054.0,14054.0,3243.0,3158.0,7653.0,4324.0,4205.0,2234.0,548.0,AVGO,BROADCOM INC
157855,2024-10-31,2024,3,INDL,C,91395.0,32870.0,58525.0,12757.0,10852.0,572.0,4741.0,0.0,9444.0,9444.0,1514.0,5167.0,2763.0,1527.0,1527.0,1356.0,504.0,CRM,SALESFORCE INC
117768,2024-10-31,2024,3,INDL,C,96013.0,30114.0,65899.0,38487.0,9952.0,273.0,17693.0,7654.0,35082.0,35082.0,8448.0,4288.0,22346.0,19309.0,19309.0,3390.0,2159.0,NVDA,NVIDIA CORP
160329,2024-09-30,2024,3,INDL,C,430266.0,116147.0,311819.0,93230.0,23951.0,5338.0,49104.0,,88268.0,88268.0,32489.0,23273.0,32506.0,26301.0,26301.0,12447.0,38259.0,GOOGL,ALPHABET INC
170617,2024-09-30,2024,3,INDL,C,256408.0,91879.0,164529.0,70990.0,47031.0,2016.0,14700.0,0.0,40589.0,40589.0,3346.0,15857.0,21386.0,15688.0,15688.0,11178.0,22831.0,META,META PLATFORMS INC
023650,2024-09-30,2024,3,INDL,C,12329.0,2211.0,10118.0,4895.0,1123.0,18.0,1435.0,0.0,2162.0,2162.0,1036.0,835.0,291.0,828.0,828.0,332.0,15.0,SHOP,SHOPIFY INC
064768,2024-09-30,2024,3,INDL,C,584626.0,325475.0,259151.0,88384.0,142192.0,16343.0,45960.0,36103.0,158877.0,158877.0,67535.0,60227.0,31115.0,15328.0,15328.0,22245.0,55165.0,AMZN,AMAZON.COM INC
