ticker,company,transcript_number,transcript_url,transcript_text
NVDA,NVIDIA,1,https://seekingalpha.com/article/4762511-nvidia-corporation-nvda-q4-2025-earnings-call-transcript#source=section%3Atranscripts_and_insights%7Csection_asset%3Afull_transcripts%7Cfirst_level_url%3Asymbol%7Cbutton%3ANVIDIA%20Corporation%20(NVDA)%20Q4%202025%20Earnings%20Call%20Transcript%7Clock_status%3ANo%7Cline%3A3,"NVIDIA Corporation (NASDAQ:NVDA) Q4 2025 Earnings Conference Call February 26, 2025 5:00 PM ET
Company Participants
Stewart Stecker - IR Jensen Huang - President and CEO Colette Kress - EVP and CFO
Conference Call Participants
C.J. Muse - Cantor Fitzgerald Joe Moore - Morgan Stanley Vivek Arya - Bank of America Securities Harlan Sur - JPMorgan Timothy Arcuri - UBS Ben Reitzes - Melius Research Mark Lipacis - Evercore ISI Aaron Rakers - Wells Fargo Atif Malik - Citigroup
Operator
Good afternoon. My name is Krista and I will be your conference operator today. At this time, I would like to welcome everyone to NVIDIA's Fourth Quarter Earnings Call. All lines have been placed on mute to prevent any background noise. After the speakersâ remarks, there will be a question-and-answer session. [Operator Instructions]
Thank you. Stewart Stecker, you may begin your conference.
Stewart Stecker 
Thank you. Good afternoon, everyone, and welcome to NVIDIA's conference call for the fourth quarter of fiscal 2025. With me today from NVIDIA are Jensen Huang, President and Chief Executive Officer and Colette Kress, Executive Vice President and Chief Financial Officer.
I'd like to remind you that our call is being webcast live on NVIDIA's Investor Relations website. The webcast will be available for replay until the conference call to discuss our financial results for the first quarter of fiscal 2026. The content of today's call is NVIDIA's property. It can't be reproduced or transcribed without prior written consent.
During this call, we may make forward-looking statements based on current expectations. These are subject to a number of significant risks and uncertainties, and our actual results may differ materially. For discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release, our most recent Forms 10-K and 10-Q, and the reports that we"
NVDA,NVIDIA,2,https://seekingalpha.com/article/4762511-nvidia-corporation-nvda-q4-2025-earnings-call-transcript#scroll_comments#source=section%3Atranscripts_and_insights%7Csection_asset%3Afull_transcripts%7Cfirst_level_url%3Asymbol%7Cbutton%3ANVIDIA%20Corporation%20(NVDA)%20Q4%202025%20Earnings%20Call%20Transcript%7Clock_status%3ANo%7Cline%3A3,"NVIDIA Corporation (NASDAQ:NVDA) Q4 2025 Earnings Conference Call February 26, 2025 5:00 PM ET
Company Participants
Stewart Stecker - IR Jensen Huang - President and CEO Colette Kress - EVP and CFO
Conference Call Participants
C.J. Muse - Cantor Fitzgerald Joe Moore - Morgan Stanley Vivek Arya - Bank of America Securities Harlan Sur - JPMorgan Timothy Arcuri - UBS Ben Reitzes - Melius Research Mark Lipacis - Evercore ISI Aaron Rakers - Wells Fargo Atif Malik - Citigroup
Operator
Good afternoon. My name is Krista and I will be your conference operator today. At this time, I would like to welcome everyone to NVIDIA's Fourth Quarter Earnings Call. All lines have been placed on mute to prevent any background noise. After the speakersâ remarks, there will be a question-and-answer session. [Operator Instructions]
Thank you. Stewart Stecker, you may begin your conference.
Stewart Stecker 
Thank you. Good afternoon, everyone, and welcome to NVIDIA's conference call for the fourth quarter of fiscal 2025. With me today from NVIDIA are Jensen Huang, President and Chief Executive Officer and Colette Kress, Executive Vice President and Chief Financial Officer.
I'd like to remind you that our call is being webcast live on NVIDIA's Investor Relations website. The webcast will be available for replay until the conference call to discuss our financial results for the first quarter of fiscal 2026. The content of today's call is NVIDIA's property. It can't be reproduced or transcribed without prior written consent.
During this call, we may make forward-looking statements based on current expectations. These are subject to a number of significant risks and uncertainties, and our actual results may differ materially. For discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release, our most recent Forms 10-K and 10-Q, and the reports that we"
